Time,X,Rho,P,U
0.000437,0.008055,7877.981189,554894249.152260,15.000000
0.000437,0.009052,7877.991785,555106868.690102,14.923149
0.000437,0.010048,7878.012988,555532328.767896,14.845962
0.000437,0.011044,7878.044823,556171066.769653,14.768103
0.000437,0.012041,7878.087323,557023727.262754,14.689239
0.000437,0.013037,7878.140535,558091148.310351,14.609040
0.000437,0.014034,7878.204512,559374343.420713,14.527182
0.000437,0.015030,7878.279319,560874479.308246,14.443343
0.000437,0.016027,7878.365025,562592849.671460,14.357213
0.000437,0.017023,7878.461707,564530845.250652,14.268485
0.000437,0.018019,7878.569445,566689920.434472,14.176865
0.000437,0.019016,7878.688320,569071556.759012,14.082065
0.000437,0.020012,7878.818415,571677223.646234,13.983812
0.000437,0.021008,7878.959810,574508336.762138,13.881845
0.000437,0.022005,7879.112581,577566214.428180,13.775914
0.000437,0.023001,7879.276797,580852032.505323,13.665786
0.000437,0.023997,7879.452518,584366778.222946,13.551244
0.000437,0.024994,7879.639794,588111203.423179,13.432087
0.000437,0.025990,7879.838661,592085777.713516,13.308131
0.000437,0.026986,7880.049138,596290642.023575,13.179213
0.000437,0.027982,7880.271226,600725563.064861,13.045188
0.000437,0.028978,7880.504905,605389889.201494,12.905934
0.000437,0.029974,7880.750133,610282508.220887,12.761348
0.000437,0.030970,7881.006844,615401807.486681,12.611352
0.000437,0.031967,7881.274942,620745636.953410,12.455888
0.000437,0.032963,7881.554304,626311275.479700,12.294925
0.000437,0.033959,7881.844779,632095400.850898,12.128453
0.000437,0.034954,7882.146181,638094063.953833,11.956490
0.000437,0.035950,7882.458292,644302667.372931,11.779076
0.000437,0.036946,7882.780863,650715948.808037,11.596277
0.000437,0.037942,7883.113607,657327969.543157,11.408184
0.000437,0.038938,7883.456204,664132108.189978,11.214914
0.000437,0.039934,7883.808299,671121059.902329,11.016607
0.000437,0.040929,7884.169501,678286841.158047,10.813427
0.000437,0.041925,7884.539388,685620800.200493,10.605565
0.000437,0.042920,7884.917500,693113633.123206,10.393232
0.000437,0.043916,7885.303347,700755405.565400,10.176661
0.000437,0.044912,7885.696408,708535579.911341,9.956110
