Time,X,Rho,P,U
0.000019,0.004297,8123.490238,5251962591.150227,150.000000
0.000019,0.005263,8123.489985,5251958356.760896,150.002521
0.000019,0.006229,8123.489469,5251949149.406008,150.004999
0.000019,0.007196,8123.488635,5251933207.290149,150.007440
0.000019,0.008162,8123.487353,5251907641.481810,150.009927
0.000019,0.009128,8123.485440,5251868992.656851,150.012587
0.000019,0.010095,8123.482722,5251814461.464767,150.015553
0.000019,0.011061,8123.479124,5251743280.613000,150.018918
0.000019,0.012027,8123.474717,5251657529.909148,150.022713
0.000019,0.012994,8123.469724,5251562017.733507,150.026895
0.000019,0.013960,8123.464464,5251463371.753527,150.031354
0.000019,0.014926,8123.459301,5251368795.861231,150.035915
0.000019,0.015893,8123.454587,5251284900.821200,150.040356
0.000019,0.016859,8123.450618,5251216783.018038,150.044448
0.000019,0.017825,8123.447601,5251167393.693011,150.048000
0.000019,0.018792,8123.445624,5251137287.241492,150.050910
0.000019,0.019758,8123.444655,5251124877.281282,150.053178
0.000019,0.020724,8123.444562,5251127177.578718,150.054903
0.000019,0.021691,8123.445164,5251140735.290395,150.056236
0.000019,0.022657,8123.446267,5251162346.274467,150.057336
0.000019,0.023623,8123.447698,5251189325.161216,150.058325
0.000019,0.024590,8123.449309,5251219432.171407,150.059272
0.000019,0.025556,8123.450980,5251250746.277725,150.060200
0.000019,0.026522,8123.452623,5251281698.310241,150.061097
0.000019,0.027489,8123.454188,5251311263.367585,150.061950
0.000019,0.028455,8123.455671,5251339158.500179,150.062752
0.000019,0.029421,8123.457107,5251365885.510613,150.063517
0.000019,0.030388,8123.458562,5251392553.189301,150.064275
0.000019,0.031354,8123.460106,5251420521.672911,150.065065
0.000019,0.032320,8123.461797,5251450982.448924,150.065921
0.000019,0.033287,8123.463659,5251484609.240373,150.066866
0.000019,0.034253,8123.465683,5251521389.294852,150.067903
0.000019,0.035219,8123.467826,5251560678.190792,150.069015
0.000019,0.036186,8123.470030,5251601437.013124,150.070174
0.000019,0.037152,8123.472239,5251642547.373302,150.071348
0.000019,0.038118,8123.474406,5251683088.520708,150.072509
0.000019,0.039085,8123.476510,5251722500.681911,150.073639
0.000019,0.040051,8123.478546,5251760620.504799,150.074732
0.000019,0.041017,8123.480527,5251797622.751986,150.075792
0.000019,0.041984,8123.482480,5251833920.675790,150.076830
0.000019,0.042950,8123.484434,5251870069.529939,150.077861
0.000019,0.043916,8123.486424,5251906697.192771,150.078903
0.000019,0.044883,8123.488487,5251944465.238940,150.079976
0.000019,0.045849,8123.490657,5251984049.217259,150.081097
0.000019,0.046815,8123.492973,5252026120.506037,150.082286
0.000019,0.047782,8123.495465,5252071314.053831,150.083563
0.000019,0.048748,8123.498161,5252120175.532046,150.084942
0.000019,0.049714,8123.501080,5252173095.269699,150.086436
0.000019,0.050681,8123.504226,5252230249.302224,150.088051
0.000019,0.051647,8123.507593,5252291572.948344,150.089785
0.000019,0.052613,8123.511163,5252356785.345054,150.091632
0.000019,0.053580,8123.514913,5252425466.658436,150.093581
0.000019,0.054546,8123.518820,5252497171.643824,150.095617
0.000019,0.055512,8123.522868,5252571553.216256,150.097731
0.000019,0.056479,8123.527055,5252648471.465404,150.099918
0.000019,0.057445,8123.531393,5252728073.611351,150.102180
0.000019,0.058411,8123.535915,5252810841.005781,150.104530
0.000019,0.059378,8123.540669,5252897604.512105,150.106990
0.000019,0.060344,8123.545723,5252989528.727684,150.109593
0.000019,0.061310,8123.551160,5253088063.245852,150.112378
0.000019,0.062277,8123.557069,5253194860.864860,150.115392
0.000019,0.063243,8123.563545,5253311665.367863,150.118685
0.000019,0.064209,8123.570670,5253440145.789260,150.122304
0.000019,0.065176,8123.578488,5253581512.269743,150.126289
0.000019,0.066142,8123.586899,5253735291.556716,150.130635
0.000019,0.067108,8123.595357,5253895491.027105,150.135204
0.000019,0.068075,8123.602081,5254039942.080925,150.139458
0.000019,0.069041,8123.602190,5254104153.509032,150.141795
0.000019,0.070007,8123.583809,5253924030.728756,150.138073
0.000019,0.070974,8123.520668,5253122935.813454,150.118670
0.000019,0.071940,8123.359465,5250910885.784782,150.063163
0.000019,0.072906,8123.000559,5245764341.251468,149.931722
0.000019,0.073873,8122.272191,5234975542.292231,149.652757
0.000019,0.074839,8120.901932,5214113390.613544,149.107739
0.000019,0.075806,8118.494354,5176527803.176751,148.116546
0.000019,0.076773,8114.529397,5113136870.546226,146.429720
0.000019,0.077741,8108.397918,5012805768.173339,143.736333
0.000019,0.078710,8099.485148,4863577401.391505,139.695345
0.000019,0.079680,8087.297119,4654788492.335071,133.992661
0.000019,0.080651,8071.603557,4379731980.144882,126.415841
0.000019,0.081625,8052.553659,4038157864.698537,116.927555
0.000019,0.082601,8030.720247,3637752303.635400,105.713311
0.000019,0.083580,8007.047668,3193942111.755697,93.183409
0.000019,0.084562,7982.712128,2727899310.506635,79.923072
0.000019,0.085547,7958.933807,2263241953.737174,66.602473
0.000019,0.086534,7936.793601,1822353124.916389,53.871696
0.000019,0.087525,7917.099288,1423286380.544132,42.268635
0.000019,0.088517,7900.323387,1077915559.691010,32.160296
0.000019,0.089512,7886.610449,791510045.641178,23.724731
0.000019,0.090508,7875.834632,563497076.778027,16.968361
0.000019,0.091505,7867.682417,388945758.401388,11.766071
0.000019,0.092503,7861.738107,260284426.176612,7.909968
0.000019,0.093502,7857.556859,168874656.541414,5.155432
0.000019,0.094501,7854.717795,106225523.507464,3.257569
0.000019,0.095501,7852.856019,64778419.588317,1.995489
0.000019,0.096500,7851.676419,38296497.077239,1.185010
0.000019,0.097500,7850.954086,21948722.165337,0.682189
0.000019,0.098500,7850.526465,12194986.068306,0.380713
0.000019,0.099500,7850.281664,6568752.943234,0.205971
