Time,X,Rho,P,U
0.000090,0.001590,7851.761457,34996902.294936,1.000075
0.000090,0.002589,7851.761457,34996902.295071,1.000075
0.000090,0.003589,7851.761457,34996902.295107,1.000075
0.000090,0.004589,7851.761457,34996902.295239,1.000075
0.000090,0.005589,7851.761457,34996902.295206,1.000075
0.000090,0.006589,7851.761457,34996902.295212,1.000075
0.000090,0.007588,7851.761457,34996902.295189,1.000075
0.000090,0.008588,7851.761457,34996902.295223,1.000075
0.000090,0.009588,7851.761457,34996902.295306,1.000075
0.000090,0.010588,7851.761457,34996902.295287,1.000075
0.000090,0.011587,7851.761457,34996902.295130,1.000075
0.000090,0.012587,7851.761457,34996902.294999,1.000075
0.000090,0.013587,7851.761457,34996902.295003,1.000075
0.000090,0.014587,7851.761457,34996902.295145,1.000075
0.000090,0.015587,7851.761457,34996902.295486,1.000075
0.000090,0.016586,7851.761457,34996902.295069,1.000075
0.000090,0.017586,7851.761457,34996902.294360,1.000075
0.000090,0.018586,7851.761457,34996902.294862,1.000075
0.000090,0.019586,7851.761457,34996902.294904,1.000075
0.000090,0.020585,7851.761457,34996902.295417,1.000075
0.000090,0.021585,7851.761457,34996902.295006,1.000075
0.000090,0.022585,7851.761457,34996902.294871,1.000075
0.000090,0.023585,7851.761457,34996902.294327,1.000075
0.000090,0.024584,7851.761457,34996902.294965,1.000075
0.000090,0.025584,7851.761457,34996902.294467,1.000075
0.000090,0.026584,7851.761457,34996902.294800,1.000075
0.000090,0.027584,7851.761457,34996902.294580,1.000075
0.000090,0.028584,7851.761457,34996902.294140,1.000075
0.000090,0.029583,7851.761457,34996902.294992,1.000075
0.000090,0.030583,7851.761457,34996902.294477,1.000075
0.000090,0.031583,7851.761457,34996902.293822,1.000075
0.000090,0.032583,7851.761457,34996902.295778,1.000075
0.000090,0.033582,7851.761457,34996902.293908,1.000075
0.000090,0.034582,7851.761457,34996902.295151,1.000075
0.000090,0.035582,7851.761457,34996902.294685,1.000075
0.000090,0.036582,7851.761457,34996902.294951,1.000075
0.000090,0.037582,7851.761457,34996902.294982,1.000075
0.000090,0.038581,7851.761457,34996902.294963,1.000075
0.000090,0.039581,7851.761457,34996902.294636,1.000075
0.000090,0.040581,7851.761457,34996902.294060,1.000075
0.000090,0.041581,7851.761457,34996902.295101,1.000075
0.000090,0.042580,7851.761457,34996902.294934,1.000075
0.000090,0.043580,7851.761457,34996902.294924,1.000075
0.000090,0.044580,7851.761457,34996902.294969,1.000075
0.000090,0.045580,7851.761457,34996902.295067,1.000075
0.000090,0.046580,7851.761457,34996902.295370,1.000075
0.000090,0.047579,7851.761457,34996902.295449,1.000075
0.000090,0.048579,7851.761457,34996902.295074,1.000075
0.000090,0.049579,7851.761457,34996902.294982,1.000075
0.000090,0.050579,7851.761457,34996902.296217,1.000075
0.000090,0.051578,7851.761457,34996902.293892,1.000075
0.000090,0.052578,7851.761457,34996902.295828,1.000075
0.000090,0.053578,7851.761457,34996902.294993,1.000075
0.000090,0.054578,7851.761457,34996902.294732,1.000075
0.000090,0.055578,7851.761457,34996902.295001,1.000075
0.000090,0.056577,7851.761457,34996902.296042,1.000075
0.000090,0.057577,7851.761457,34996902.294733,1.000075
0.000090,0.058577,7851.761457,34996902.296125,1.000075
0.000090,0.059577,7851.761457,34996902.295064,1.000075
0.000090,0.060576,7851.761457,34996902.296133,1.000075
0.000090,0.061576,7851.761457,34996902.295842,1.000075
0.000090,0.062576,7851.761457,34996902.294853,1.000075
0.000090,0.063576,7851.761457,34996902.296486,1.000075
0.000090,0.064576,7851.761457,34996902.295690,1.000075
0.000090,0.065575,7851.761457,34996902.295871,1.000075
0.000090,0.066575,7851.761457,34996902.293746,1.000075
0.000090,0.067575,7851.761457,34996902.296455,1.000075
0.000090,0.068575,7851.761457,34996902.295685,1.000075
0.000090,0.069574,7851.761457,34996902.295986,1.000075
0.000090,0.070574,7851.761457,34996902.295293,1.000075
0.000090,0.071574,7851.761457,34996902.294233,1.000075
0.000090,0.072574,7851.761457,34996902.296340,1.000075
0.000090,0.073573,7851.761457,34996902.296008,1.000075
0.000090,0.074573,7851.761457,34996902.295902,1.000075
0.000090,0.075573,7851.761457,34996902.295347,1.000075
0.000090,0.076573,7851.761457,34996902.294280,1.000075
0.000090,0.077573,7851.761457,34996902.296357,1.000075
0.000090,0.078572,7851.761457,34996902.295858,1.000075
0.000090,0.079572,7851.761457,34996902.295545,1.000075
0.000090,0.080572,7851.761457,34996902.295430,1.000075
0.000090,0.081572,7851.761457,34996902.295474,1.000075
0.000090,0.082571,7851.761457,34996902.295707,1.000075
0.000090,0.083571,7851.761457,34996902.296130,1.000075
0.000090,0.084571,7851.761457,34996902.296911,1.000075
0.000090,0.085571,7851.761457,34996902.297296,1.000075
0.000090,0.086571,7851.761457,34996902.298640,1.000075
0.000090,0.087570,7851.761457,34996902.295616,1.000075
0.000090,0.088570,7851.761457,34996902.298430,1.000075
0.000090,0.089570,7851.761457,34996902.296292,1.000075
0.000090,0.090570,7851.761457,34996902.295711,1.000075
0.000090,0.091569,7851.761457,34996902.295756,1.000075
0.000090,0.092569,7851.761457,34996902.295494,1.000075
0.000090,0.093569,7851.761457,34996902.295233,1.000075
0.000090,0.094569,7851.761457,34996902.295322,1.000075
0.000090,0.095569,7851.761457,34996902.295755,1.000075
0.000090,0.096568,7851.761457,34996902.296059,1.000075
0.000090,0.097568,7851.761457,34996902.296675,1.000075
0.000090,0.098568,7851.761457,34996902.297869,1.000075
0.000090,0.099568,7851.761457,34996902.295865,1.000075
0.000090,0.100567,7851.761457,34996902.298295,1.000075
0.000090,0.101567,7851.761457,34996902.295958,1.000075
0.000090,0.102567,7851.761457,34996902.293673,1.000075
0.000090,0.103567,7851.761457,34996902.296024,1.000075
0.000090,0.104567,7851.761457,34996902.295970,1.000075
0.000090,0.105566,7851.761457,34996902.295946,1.000075
0.000090,0.106566,7851.761457,34996902.296346,1.000075
0.000090,0.107566,7851.761457,34996902.295714,1.000075
0.000090,0.108566,7851.761457,34996902.293916,1.000075
0.000090,0.109565,7851.761457,34996902.295866,1.000075
0.000090,0.110565,7851.761457,34996902.295947,1.000075
0.000090,0.111565,7851.761457,34996902.296249,1.000075
0.000090,0.112565,7851.761457,34996902.294124,1.000075
0.000090,0.113565,7851.761457,34996902.295348,1.000075
0.000090,0.114564,7851.761457,34996902.295698,1.000075
0.000090,0.115564,7851.761457,34996902.296554,1.000075
0.000090,0.116564,7851.761457,34996902.293918,1.000075
0.000090,0.117564,7851.761457,34996902.295936,1.000075
0.000090,0.118563,7851.761457,34996902.296170,1.000075
0.000090,0.119563,7851.761457,34996902.294163,1.000075
0.000090,0.120563,7851.761457,34996902.295230,1.000075
0.000090,0.121563,7851.761457,34996902.295263,1.000075
0.000090,0.122563,7851.761457,34996902.294693,1.000075
0.000090,0.123562,7851.761457,34996902.294357,1.000075
0.000090,0.124562,7851.761457,34996902.294261,1.000075
0.000090,0.125562,7851.761457,34996902.294179,1.000075
0.000090,0.126562,7851.761457,34996902.294034,1.000075
0.000090,0.127561,7851.761457,34996902.293911,1.000075
0.000090,0.128561,7851.761457,34996902.293874,1.000075
