Time,X,Rho,P,U
0.025072,1.905396,7850.000000,0.000000,150.000000
0.025072,3.833268,8731.450747,15748374679.687241,150.000000
0.025072,3.878221,8731.450776,15748375159.626362,150.000885
0.025072,3.923173,8731.450835,15748376118.703403,150.001769
0.025072,3.968125,8731.450923,15748377555.332832,150.002653
0.025072,4.013078,8731.451039,15748379467.127996,150.003535
0.025072,4.058030,8731.451185,15748381850.921801,150.004416
0.025072,4.102983,8731.451360,15748384702.797928,150.005295
0.025072,4.147935,8731.451562,15748388018.041080,150.006171
0.025072,4.192888,8731.451793,15748391791.241495,150.007044
0.025072,4.237840,8731.452052,15748396016.237598,150.007915
0.025072,4.282792,8731.452337,15748400686.176495,150.008781
0.025072,4.327745,8731.452649,15748405793.527063,150.009644
0.025072,4.372697,8731.452988,15748411330.100075,150.010502
0.025072,4.417650,8731.453352,15748417287.089508,150.011355
0.025072,4.462602,8731.453742,15748423655.089022,150.012203
0.025072,4.507555,8731.454156,15748430424.127405,150.013046
0.025072,4.552507,8731.454594,15748437583.694576,150.013883
0.025072,4.597459,8731.455055,15748445122.791994,150.014714
0.025072,4.642412,8731.455539,15748453029.964222,150.015538
0.025072,4.687364,8731.456044,15748461293.309238,150.016356
0.025072,4.732317,8731.456571,15748469900.546940,150.017167
0.025072,4.777269,8731.457117,15748478839.058472,150.017970
0.025072,4.822221,8731.457684,15748488095.895269,150.018766
0.025072,4.867174,8731.458269,15748497657.851559,150.019554
0.025072,4.912126,8731.458871,15748507511.480255,150.020334
0.025072,4.957079,8731.459491,15748517643.138954,150.021105
0.025072,5.002031,8731.460127,15748528039.051691,150.021869
0.025072,5.046983,8731.460779,15748538685.305302,150.022623
0.025072,5.091936,8731.461445,15748549567.927567,150.023368
0.025072,5.136888,8731.462124,15748560672.903528,150.024105
0.025072,5.181841,8731.462816,15748571986.221241,150.024832
0.025072,5.226793,8731.463521,15748583493.917053,150.025549
0.025072,5.271745,8731.464236,15748595182.071541,150.026258
0.025072,5.316698,8731.464962,15748607036.914566,150.026956
0.025072,5.361650,8731.465697,15748619044.775864,150.027645
0.025072,5.406602,8731.466440,15748631192.182964,150.028324
0.025072,5.451555,8731.467192,15748643465.856180,150.028993
0.025072,5.496507,8731.467950,15748655852.735224,150.029652
0.025072,5.541459,8731.468715,15748668340.033916,150.030301
0.025072,5.586412,8731.469485,15748680915.226244,150.030941
0.025072,5.631364,8731.470259,15748693566.079844,150.031570
0.025072,5.676316,8731.471038,15748706280.711767,150.032189
0.025072,5.721269,8731.471820,15748719047.538801,150.032798
0.025072,5.766221,8731.472605,15748731855.330854,150.033397
0.025072,5.811173,8731.473391,15748744693.242800,150.033986
0.025072,5.856126,8731.474179,15748757550.755360,150.034565
0.025072,5.901078,8731.474968,15748770417.758608,150.035134
0.025072,5.946030,8731.475756,15748783284.494747,150.035694
0.025072,5.990983,8731.476544,15748796141.581200,150.036243
0.025072,6.035935,8731.477331,15748808980.016361,150.036783
0.025072,6.080887,8731.478117,15748821791.134409,150.037313
0.025072,6.125840,8731.478900,15748834566.638828,150.037834
0.025072,6.170792,8731.479681,15748847298.555143,150.038346
0.025072,6.215744,8731.480458,15748859979.218454,150.038848
0.025072,6.260696,8731.481233,15748872601.249554,150.039340
0.025072,6.305649,8731.482003,15748885157.530243,150.039824
0.025072,6.350601,8731.482769,15748897641.159557,150.040299
0.025072,6.395553,8731.483530,15748910045.425354,150.040765
0.025072,6.440506,8731.484285,15748922363.736385,150.041222
0.025072,6.485458,8731.485035,15748934589.593237,150.041670
0.025072,6.530410,8731.485780,15748946716.542387,150.042110
0.025072,6.575362,8731.486517,15748958738.043976,150.042541
0.025072,6.620315,8731.487248,15748970647.483690,150.042964
0.025072,6.665267,8731.487971,15748982438.034393,150.043379
0.025072,6.710219,8731.488687,15748994102.578733,150.043785
0.025072,6.755171,8731.489394,15749005633.613897,150.044182
0.025072,6.800124,8731.490092,15749017023.129770,150.044572
0.025072,6.845076,8731.490781,15749028262.497591,150.044953
0.025072,6.890028,8731.491460,15749039342.303648,150.045326
0.025072,6.934980,8731.492129,15749050252.251354,150.045690
0.025072,6.979932,8731.492785,15749060980.924679,150.046045
0.025072,7.024885,8731.493430,15749071515.654955,150.046392
0.025072,7.069837,8731.494061,15749081842.309370,150.046730
0.025072,7.114789,8731.494677,15749091945.035675,150.047058
0.025072,7.159741,8731.495278,15749101806.067753,150.047377
0.025072,7.204694,8731.495862,15749111405.391956,150.047686
0.025072,7.249646,8731.496428,15749120720.520166,150.047984
0.025072,7.294598,8731.496974,15749129726.098566,150.048271
0.025072,7.339550,8731.497497,15749138393.598995,150.048547
0.025072,7.384502,8731.497997,15749146690.893581,150.048810
0.025072,7.429455,8731.498469,15749154581.840557,150.049059
0.025072,7.474407,8731.498913,15749162025.797602,150.049294
0.025072,7.519359,8731.499324,15749168977.138205,150.049513
0.025072,7.564311,8731.499699,15749175384.638535,150.049715
0.025072,7.609263,8731.500034,15749181190.898098,150.049899
0.025072,7.654215,8731.500326,15749186331.656998,150.050062
0.025072,7.699168,8731.500569,15749190735.029495,150.050203
0.025072,7.744120,8731.500758,15749194320.725460,150.050319
0.025072,7.789072,8731.500886,15749196999.174965,150.050408
0.025072,7.834024,8731.500948,15749198670.561590,150.050468
0.025072,7.878976,8731.500936,15749199223.569744,150.050495
0.025072,7.923929,8731.500842,15749198535.016117,150.050485
0.025072,7.968881,8731.500657,15749196468.287874,150.050436
0.025072,8.013833,8731.500370,15749192871.505377,150.050342
0.025072,8.058785,8731.499971,15749187576.497103,150.050199
0.025072,8.103737,8731.499447,15749180397.235216,150.050001
0.025072,8.148689,8731.498785,15749171128.108698,150.049743
0.025072,8.193642,8731.497969,15749159542.238619,150.049419
0.025072,8.238594,8731.496984,15749145389.452057,150.049021
0.025072,8.283546,8731.495810,15749128394.185602,150.048541
0.025072,8.328498,8731.494429,15749108253.295467,150.047971
0.025072,8.373451,8731.492818,15749084633.583359,150.047301
0.025072,8.418403,8731.490953,15749057169.233173,150.046521
0.025072,8.463355,8731.488807,15749025459.035563,150.045620
0.025072,8.508307,8731.486353,15748989063.356890,150.044585
0.025072,8.553259,8731.483557,15748947501.047625,150.043402
0.025072,8.598212,8731.480386,15748900245.973133,150.042056
0.025072,8.643164,8731.476802,15748846723.402832,150.040531
0.025072,8.688116,8731.472764,15748786306.170109,150.038809
0.025072,8.733069,8731.468227,15748718310.606445,150.036871
0.025072,8.778021,8731.463143,15748641992.069019,150.034694
0.025072,8.822973,8731.457457,15748556540.428209,150.032257
0.025072,8.867926,8731.451114,15748461075.143356,150.029534
0.025072,8.912878,8731.444049,15748354640.024149,150.026498
0.025072,8.957831,8731.436196,15748236197.847918,150.023119
0.025072,9.002783,8731.427481,15748104624.476202,150.019365
0.025072,9.047736,8731.417825,15747958702.900087,150.015201
0.025072,9.092689,8731.407142,15747797116.731281,150.010590
0.025072,9.137641,8731.395340,15747618443.556692,150.005491
0.025072,9.182594,8731.382317,15747421147.888168,149.999861
0.025072,9.227547,8731.367967,15747203573.770720,149.993652
0.025072,9.272500,8731.352174,15746963937.100189,149.986812
0.025072,9.317453,8731.334812,15746700317.626167,149.979288
0.025072,9.362406,8731.315748,15746410650.524895,149.971021
0.025072,9.407359,8731.294837,15746092717.784689,149.961946
0.025072,9.452312,8731.271925,15745744139.155121,149.951996
0.025072,9.497266,8731.246848,15745362362.827492,149.941099
0.025072,9.542219,8731.219427,15744944655.781898,149.929176
0.025072,9.587173,8731.189473,15744488093.856363,149.916144
0.025072,9.632127,8731.156785,15743989551.519266,149.901913
0.025072,9.677081,8731.121145,15743445691.374926,149.886388
0.025072,9.722035,8731.082325,15742852953.341017,149.869468
0.025072,9.766990,8731.040080,15742207543.754782,149.851044
0.025072,9.811944,8730.994147,15741505424.060928,149.831001
0.025072,9.856899,8730.944252,15740742299.507132,149.809216
0.025072,9.901854,8730.890098,15739913607.543564,149.785559
