Time,X,Rho,P,U,W
0.000220,0.179995,61633.158720,145505888.030595,816.496581,0.000000
0.000220,0.220722,54.065660,43154957.954100,803.022431,0.000000
0.000220,0.299926,57.124175,55661047.560697,1440.494722,0.000000
0.000220,0.369369,71.127634,57758146.897648,484.433221,0.084655
0.000220,0.432755,67.785891,49610073.744554,21.973323,0.157846
0.000220,0.542965,28.294039,19076238.445635,-323.825432,0.000000
0.000220,0.648476,79.259868,72548483.502907,-82.908237,0.000000
0.000220,0.738112,35.553504,26255173.516266,1.363474,0.000000
0.000220,0.861542,35.742302,26462833.998005,-0.656789,0.000000
0.000220,0.949932,81.971678,75960249.034427,-26.984325,0.000000
0.000220,1.036552,36.800865,27595545.716888,21.149364,0.000000
0.000220,1.150000,40.993751,32036732.824506,-89.739898,0.000000
0.000220,1.263441,36.805228,27600728.773354,89.727003,0.000000
0.000220,1.349998,82.140464,76170566.250302,-21.929538,0.000000
0.000220,1.436458,36.865622,27668220.439075,21.713412,0.000000
0.000220,1.548067,42.362289,33496957.746286,-97.956097,0.000000
0.000220,1.651933,42.362225,33496893.808027,0.000124,0.000000
0.000220,1.763549,36.861225,27662971.272814,97.968969,0.000000
0.000220,1.850072,81.970098,75958304.316707,-20.928468,0.000000
0.000220,1.938623,35.649636,26365597.136601,27.275737,0.000000
0.000220,2.068696,32.181757,22953256.428775,15.779220,0.000000
0.000220,2.168742,69.434065,53457744.665642,369.579109,0.120867
0.000220,2.232832,67.890621,49842222.266502,19.102929,0.155443
0.000220,2.343309,28.179312,18973710.643671,-322.257617,0.000000
0.000220,2.450000,76.869808,69585734.955345,-58.160985,0.000000
0.000220,2.556710,28.172715,18969158.140650,58.169628,0.000000
0.000220,2.667400,67.483913,48872649.723149,324.891260,0.164817
0.000220,2.732600,67.484118,48873100.528609,0.000656,0.164813
0.000220,2.843290,28.172703,18969147.312891,-324.891848,0.000000
0.000220,2.950000,76.869702,69585613.005716,-58.169480,0.000000
0.000220,3.056710,28.172714,18969157.886844,58.169412,0.000000
0.000220,3.167400,67.483913,48872649.714556,324.891260,0.164817
0.000220,3.232600,67.484118,48873100.528461,0.000656,0.164813
0.000220,3.343290,28.172703,18969147.311923,-324.891848,0.000000
0.000220,3.450000,76.869701,69585611.651082,-58.169478,0.000000
0.000220,3.556710,28.172588,18969081.767112,58.169530,0.000000
0.000220,3.667407,67.470770,48840861.335903,324.956286,0.165122
0.000220,3.732682,67.342748,48538293.716621,0.890325,0.168098
0.000220,3.850000,25.989536,17257883.943875,-318.187869,0.000000
0.000220,3.967325,67.329344,48505993.943693,318.252590,0.168410
0.000220,4.032676,67.327964,48502665.836218,0.009538,0.168442
0.000220,4.150212,25.925075,17225191.289101,-318.151302,0.000000
0.000220,4.268476,65.859097,45134760.589803,336.420880,0.203423
0.000220,4.334852,66.725292,47214510.371923,31.342633,0.182608
0.000220,4.443540,29.055781,19846830.897040,-345.912373,0.000000
0.000220,4.547563,77.718969,70531709.937340,-32.772394,0.000000
0.000220,4.655516,27.622127,18484635.607620,5.871530,0.000000
0.000220,4.768525,65.942359,45329490.723487,340.960707,0.201399
0.000220,4.834856,66.731719,47230162.578554,31.823321,0.182456
0.000220,4.943540,29.055835,19846858.828367,-345.883207,0.000000
0.000220,5.047563,77.718969,70531710.439005,-32.772352,0.000000
0.000220,5.155516,27.622127,18484635.607732,5.871531,0.000000
0.000220,5.268525,65.942359,45329490.723491,340.960707,0.201399
0.000220,5.334856,66.731719,47230162.578554,31.823321,0.182456
0.000220,5.443540,29.055835,19846858.828367,-345.883207,0.000000
0.000220,5.547563,77.718969,70531710.439005,-32.772352,0.000000
0.000220,5.655516,27.622127,18484635.607732,5.871531,0.000000
0.000220,5.768525,65.942359,45329490.723491,340.960707,0.201399
0.000220,5.834856,66.731719,47230162.578554,31.823321,0.182456
0.000220,5.943540,29.055835,19846858.828367,-345.883207,0.000000
0.000220,6.047563,77.718969,70531710.439005,-32.772352,0.000000
0.000220,6.155516,27.622127,18484635.607732,5.871531,0.000000
0.000220,6.268525,65.942359,45329490.723491,340.960707,0.201399
0.000220,6.334856,66.731719,47230162.578554,31.823321,0.182456
0.000220,6.443540,29.055835,19846858.828367,-345.883207,0.000000
0.000220,6.547563,77.718969,70531710.439005,-32.772352,0.000000
0.000220,6.655516,27.622127,18484635.607732,5.871531,0.000000
0.000220,6.768525,65.942359,45329490.723491,340.960707,0.201399
0.000220,6.834856,66.731719,47230162.578554,31.823321,0.182456
0.000220,6.943540,29.055835,19846858.828367,-345.883207,0.000000
0.000220,7.047563,77.718969,70531710.439005,-32.772352,0.000000
0.000220,7.155516,27.622127,18484635.607734,5.871531,0.000000
