Time: 0.141924
X,Y,UX,UY,Rho,P,E
0.0175,0.915,0,5.89402e-11,0.125,0.1,0.25
0.0175,0.925,0,9.45193e-12,0.125,0.1,0.25
0.0175,0.935,0,1.44129e-12,0.125,0.1,0.25
0.0175,0.945,0,2.08526e-13,0.125,0.1,0.25
0.0175,0.955,0,2.85721e-14,0.125,0.1,0.25
0.0175,0.965,0,3.60997e-15,0.125,0.1,0.25
0.0175,0.975,0,3.74185e-16,0.125,0.1,0.25
0.0175,0.985,0,2.20086e-17,0.125,0.1,0.25
0.0175,0.995,0,0,0.125,0.1,0.25
0.0225,0.005,0,0,1,1,2.5
0.0225,0.015,0,1.10057e-16,1,1,2.5
0.0225,0.025,0,1.16661e-15,1,1,2.5
0.0225,0.035,0,7.52836e-15,1,1,2.5
0.0225,0.045,0,4.71295e-14,1,1,2.5
0.0225,0.055,0,2.75935e-13,1,1,2.5
0.0225,0.065,0,1.52494e-12,1,1,2.5
0.0225,0.075,0,7.93363e-12,1,1,2.5
0.0225,0.085,0,3.89104e-11,1,1,2.5
0.0225,0.095,0,1.80039e-10,1,1,2.5
0.0225,0.105,0,7.86427e-10,1,1,2.5
0.0225,0.115,0,3.24474e-09,1,1,2.5
0.0225,0.125,0,1.26511e-08,1,1,2.5
0.0225,0.135,0,4.66298e-08,1,1,2.5
0.0225,0.145,0,1.6252e-07,1,1,2.5
0.0225,0.155,0,5.35721e-07,1,0.999999,2.5
0.0225,0.165,0,1.67036e-06,0.999999,0.999998,2.5
0.0225,0.175,0,4.92647e-06,0.999996,0.999994,2.49999
0.0225,0.185,0,1.37435e-05,0.999988,0.999984,2.49996
0.0225,0.195,0,3.62619e-05,0.999969,0.999957,2.49989
0.0225,0.205,0,9.04738e-05,0.999924,0.999893,2.49973
0.0225,0.215,0,0.00021342,0.99982,0.999748,2.49937
0.0225,0.225,0,0.000475897,0.999598,0.999437,2.49859
0.0225,0.235,0,0.00100306,0.999152,0.998814,2.49703
0.0225,0.245,0,0.0019986,0.998311,0.997637,2.4941
0.0225,0.255,0,0.0037663,0.996819,0.995552,2.48889
0.0225,0.265,0,0.00671895,0.994329,0.992075,2.48021
0.0225,0.275,0,0.0113648,0.990419,0.986626,2.46663
0.0225,0.285,0,0.0182666,0.984628,0.978576,2.4466
0.0225,0.295,0,0.0279805,0.976515,0.967339,2.41873
0.0225,0.305,0,0.040988,0.965721,0.952462,2.38197
0.0225,0.315,0,0.0576422,0.952024,0.933697,2.33582
0.0225,0.325,0,0.0781394,0.935358,0.911032,2.28044
0.0225,0.335,0,0.10252,0.915813,0.884683,2.21652
0.0225,0.345,0,0.130693,0.89361,0.855048,2.14525
0.0225,0.355,0,0.162469,0.869059,0.822644,2.06808
0.0225,0.365,0,0.197602,0.84252,0.788047,1.98657
0.0225,0.375,0,0.235819,0.814368,0.751837,1.90224
0.0225,0.385,0,0.276848,0.784968,0.714562,1.81649
0.0225,0.395,0,0.320436,0.754656,0.676715,1.73053
0.0225,0.405,0,0.366357,0.723731,0.638721,1.64537
0.0225,0.415,0,0.414423,0.692451,0.600937,1.56181
0.0225,0.425,0,0.464484,0.661031,0.563651,1.48043
0.0225,0.435,0,0.516435,0.629647,0.527087,1.40168
0.0225,0.445,0,0.570219,0.598433,0.49141,1.32582
0.0225,0.455,0,0.625842,0.567486,0.456732,1.25297
0.0225,0.465,0,0.68339,0.536854,0.423104,1.18312
0.0225,0.475,0,0.743083,0.506529,0.390512,1.11612
0.0225,0.485,0,0.805395,0.4764,0.358836,1.0516
0.0225,0.495,0,0.871355,0.446163,0.327762,0.988781
0.0225,0.505,0,0.942839,0.415274,0.296756,0.926467
0.0225,0.515,0,0.933106,0.418941,0.300824,0.934443
