Time,X,Rho,P,U
0.000101,0.016812,8118.627111,5361689128.868248,149.999963
0.000101,0.020035,8118.627159,5361690024.628213,149.999885
0.000101,0.023258,8118.627245,5361691628.861183,149.999797
0.000101,0.026481,8118.627351,5361693595.315162,149.999698
0.000101,0.029704,8118.627452,5361695469.261576,149.999595
0.000101,0.032927,8118.627522,5361696758.376962,149.999500
0.000101,0.036150,8118.627536,5361697034.854943,149.999420
0.000101,0.039373,8118.627484,5361696065.595301,149.999358
0.000101,0.042596,8118.627369,5361693920.403189,149.999308
0.000101,0.045819,8118.627212,5361691000.700923,149.999258
0.000101,0.049042,8118.627049,5361687985.025258,149.999192
0.000101,0.052265,8118.626923,5361685638.912483,149.999102
0.000101,0.055488,8118.626858,5361684421.926372,149.998991
0.000101,0.058711,8118.626864,5361684548.699434,149.998869
0.000101,0.061934,8118.626930,5361685767.308935,149.998752
0.000101,0.065157,8118.627029,5361687607.566035,149.998653
0.000101,0.068380,8118.627120,5361689294.632481,149.998575
0.000101,0.071603,8118.627164,5361690124.057368,149.998511
0.000101,0.074826,8118.627138,5361689623.428089,149.998448
0.000101,0.078049,8118.627034,5361687698.896325,149.998373
0.000101,0.081272,8118.626870,5361684654.758608,149.998280
0.000101,0.084495,8118.626681,5361681141.244004,149.998174
0.000101,0.087718,8118.626508,5361677920.276135,149.998065
0.000101,0.090941,8118.626383,5361675598.498459,149.997963
0.000101,0.094164,8118.626319,5361674407.358379,149.997876
0.000101,0.097388,8118.626303,5361674127.374519,149.997802
0.000101,0.100611,8118.626310,5361674251.438244,149.997734
0.000101,0.103834,8118.626311,5361674267.137520,149.997659
0.000101,0.107057,8118.626290,5361673874.890892,149.997567
0.000101,0.110280,8118.626245,5361673039.185580,149.997452
0.000101,0.113503,8118.626182,5361671876.814246,149.997316
0.000101,0.116726,8118.626107,5361670477.854134,149.997171
0.000101,0.119949,8118.626016,5361668784.290302,149.997030
0.000101,0.123172,8118.625898,5361666602.930875,149.996908
0.000101,0.126395,8118.625745,5361663749.342344,149.996812
0.000101,0.129618,8118.625557,5361660251.173596,149.996740
0.000101,0.132841,8118.625354,5361656483.769300,149.996681
0.000101,0.136064,8118.625172,5361653096.307096,149.996620
0.000101,0.139287,8118.625042,5361650696.433290,149.996541
0.000101,0.142510,8118.624977,5361649473.929193,149.996436
0.000101,0.145733,8118.624954,5361649048.807802,149.996304
0.000101,0.148956,8118.624933,5361648671.121972,149.996150
0.000101,0.152179,8118.624877,5361647618.295945,149.995981
0.000101,0.155402,8118.624763,5361645510.131685,149.995808
0.000101,0.158625,8118.624595,5361642384.060049,149.995641
0.000101,0.161848,8118.624390,5361638571.296696,149.995493
0.000101,0.165071,8118.624170,5361634495.040363,149.995373
0.000101,0.168294,8118.623955,5361630488.153741,149.995283
0.000101,0.171517,8118.623751,5361626695.589178,149.995211
0.000101,0.174741,8118.623556,5361623087.874499,149.995140
0.000101,0.177964,8118.623366,5361619554.124059,149.995050
0.000101,0.181187,8118.623175,5361616002.675224,149.994925
0.000101,0.184410,8118.622981,5361612401.070910,149.994765
0.000101,0.187633,8118.622785,5361608752.237621,149.994578
0.000101,0.190856,8118.622587,5361605084.395444,149.994384
0.000101,0.194079,8118.622394,5361601490.470586,149.994197
0.000101,0.197302,8118.622212,5361598112.308336,149.994023
0.000101,0.200525,8118.622044,5361594984.619476,149.993859
0.000101,0.203748,8118.621876,5361591864.901145,149.993699
0.000101,0.206971,8118.621681,5361588252.230964,149.993537
0.000101,0.210194,8118.621432,5361583616.909637,149.993374
0.000101,0.213417,8118.621114,5361577707.402419,149.993210
0.000101,0.216640,8118.620740,5361570765.977319,149.993046
0.000101,0.219863,8118.620348,5361563471.077652,149.992879
0.000101,0.223086,8118.619977,5361556589.115052,149.992708
0.000101,0.226309,8118.619654,5361550590.171810,149.992530
0.000101,0.229532,8118.619379,5361545467.506267,149.992342
0.000101,0.232755,8118.619127,5361540784.409208,149.992139
0.000101,0.235978,8118.618864,5361535907.290199,149.991920
0.000101,0.239201,8118.618564,5361530341.003551,149.991686
0.000101,0.242424,8118.618224,5361524009.240502,149.991439
0.000101,0.245647,8118.617862,5361517283.140277,149.991183
0.000101,0.248871,8118.617504,5361510631.098960,149.990923
0.000101,0.252094,8118.617156,5361504168.066833,149.990664
0.000101,0.255317,8118.616799,5361497540.030331,149.990413
0.000101,0.258540,8118.616403,5361490190.645678,149.990176
0.000101,0.261763,8118.615945,5361481682.170953,149.989953
0.000101,0.264986,8118.615423,5361471972.521138,149.989739
0.000101,0.268209,8118.614866,5361461618.064377,149.989521
0.000101,0.271432,8118.614321,5361451501.478694,149.989283
0.000101,0.274655,8118.613819,5361442179.932273,149.989014
0.000101,0.277878,8118.613354,5361433537.945147,149.988713
0.000101,0.281101,8118.612898,5361425062.380965,149.988387
0.000101,0.284324,8118.612425,5361416272.384965,149.988039
0.000101,0.287547,8118.611924,5361406974.194035,149.987674
0.000101,0.290770,8118.611398,5361397196.062843,149.987296
0.000101,0.293993,8118.610847,5361386947.866352,149.986918
0.000101,0.297216,8118.610270,5361376240.183281,149.986548
0.000101,0.300439,8118.609667,5361365031.244035,149.986190
0.000101,0.303662,8118.609025,5361353108.133536,149.985843
0.000101,0.306885,8118.608337,5361340315.038822,149.985503
0.000101,0.310108,8118.607607,5361326764.389950,149.985167
0.000101,0.313331,8118.606849,5361312677.519749,149.984829
0.000101,0.316555,8118.606071,5361298213.571440,149.984475
0.000101,0.319778,8118.605281,5361283546.005877,149.984081
