Time,X,Rho,P,U
0.000071,0.012306,8118.617999,5361519840.731583,149.999945
0.000071,0.015529,8118.618090,5361521526.509597,149.999823
0.000071,0.018752,8118.618171,5361523038.514159,149.999670
0.000071,0.021975,8118.618132,5361522310.232259,149.999475
0.000071,0.025198,8118.617946,5361518846.906302,149.999239
0.000071,0.028421,8118.617685,5361514010.505424,149.998981
0.000071,0.031644,8118.617473,5361510063.233158,149.998729
0.000071,0.034867,8118.617418,5361509032.387820,149.998511
0.000071,0.038090,8118.617555,5361511589.379438,149.998330
0.000071,0.041313,8118.617811,5361516333.952629,149.998171
0.000071,0.044536,8118.618022,5361520264.048422,149.998014
0.000071,0.047759,8118.618031,5361520433.373505,149.997849
0.000071,0.050982,8118.617778,5361515732.543309,149.997678
0.000071,0.054205,8118.617327,5361507344.362741,149.997511
0.000071,0.057428,8118.616824,5361498000.451884,149.997348
0.000071,0.060651,8118.616443,5361490925.014578,149.997174
0.000071,0.063874,8118.616311,5361488465.439505,149.996963
0.000071,0.067097,8118.616427,5361490631.047057,149.996709
0.000071,0.070320,8118.616663,5361495009.834631,149.996435
0.000071,0.073543,8118.616838,5361498266.127413,149.996172
0.000071,0.076766,8118.616818,5361497890.974469,149.995943
0.000071,0.079989,8118.616562,5361493133.410562,149.995744
0.000071,0.083212,8118.616114,5361484821.439357,149.995560
0.000071,0.086436,8118.615578,5361474851.674537,149.995368
0.000071,0.089659,8118.615075,5361465507.602227,149.995160
0.000071,0.092882,8118.614708,5361458682.949819,149.994946
0.000071,0.096105,8118.614523,5361455262.626518,149.994737
0.000071,0.099328,8118.614498,5361454796.850335,149.994528
0.000071,0.102551,8118.614526,5361455317.994728,149.994297
0.000071,0.105774,8118.614450,5361453898.644825,149.994027
0.000071,0.108997,8118.614165,5361448594.660597,149.993716
0.000071,0.112220,8118.613705,5361440053.192282,149.993378
0.000071,0.115443,8118.613208,5361430816.618117,149.993047
0.000071,0.118666,8118.612805,5361423341.341461,149.992755
0.000071,0.121889,8118.612531,5361418246.080166,149.992515
0.000071,0.125112,8118.612302,5361413984.812151,149.992310
0.000071,0.128335,8118.612003,5361408431.584009,149.992101
0.000071,0.131558,8118.611571,5361400410.717744,149.991855
0.000071,0.134781,8118.611018,5361390135.325601,149.991573
0.000071,0.138004,8118.610421,5361379048.322485,149.991276
0.000071,0.141227,8118.609882,5361369036.740769,149.990975
0.000071,0.144450,8118.609464,5361361269.302528,149.990659
0.000071,0.147673,8118.609170,5361355803.459351,149.990311
0.000071,0.150896,8118.608937,5361351462.026637,149.989916
0.000071,0.154120,8118.608655,5361346225.582507,149.989467
0.000071,0.157343,8118.608254,5361338789.563758,149.988989
0.000071,0.160566,8118.607628,5361327144.193191,149.988546
0.000071,0.163789,8118.606777,5361311340.031610,149.988202
0.000071,0.167012,8118.605956,5361296077.304229,149.987947
0.000071,0.170235,8118.605233,5361282657.110021,149.987727
0.000071,0.173458,8118.604545,5361269875.265590,149.987488
0.000071,0.176681,8118.603925,5361258348.301789,149.987151
0.000071,0.179904,8118.603333,5361247345.441466,149.986651
0.000071,0.183127,8118.602765,5361236798.768397,149.986077
0.000071,0.186350,8118.602331,5361228731.979412,149.985576
0.000071,0.189573,8118.601832,5361219460.218353,149.985104
0.000071,0.192796,8118.601072,5361205335.731473,149.984615
0.000071,0.196019,8118.600367,5361192251.251122,149.984114
0.000071,0.199242,8118.599171,5361170019.255429,149.983459
0.000071,0.202465,8118.597523,5361139400.654775,149.982742
0.000071,0.205688,8118.596776,5361125530.443396,149.982346
0.000071,0.208911,8118.596247,5361115702.168449,149.981994
0.000071,0.212134,8118.594464,5361082565.721715,149.981128
0.000071,0.215357,8118.592885,5361053226.046825,149.980319
0.000071,0.218581,8118.592821,5361052047.830800,149.979885
0.000071,0.221804,8118.590703,5361012699.903466,149.978560
0.000071,0.225027,8118.586269,5360930313.062983,149.976900
0.000071,0.228250,8118.587098,5360945705.978776,149.977033
0.000071,0.231473,8118.588508,5360971914.082264,149.976978
0.000071,0.234696,8118.581498,5360841666.823385,149.973244
0.000071,0.237919,8118.572289,5360670564.585256,149.969954
0.000071,0.241142,8118.577297,5360763622.270348,149.971380
0.000071,0.244365,8118.580361,5360820539.614686,149.970835
0.000071,0.247588,8118.560435,5360450321.658594,149.960209
0.000071,0.250811,8118.532053,5359922998.042638,149.949726
0.000071,0.254034,8118.541435,5360097314.197097,149.953470
0.000071,0.257257,8118.557700,5360399508.766865,149.957517
0.000071,0.260480,8118.519049,5359681385.065248,149.932958
0.000071,0.263703,8118.406712,5357594163.000177,149.881937
0.000071,0.266927,8118.355328,5356639422.434058,149.865973
0.000071,0.270150,8118.441289,5358236610.497579,149.899173
0.000071,0.273373,8118.477915,5358917122.050087,149.902276
0.000071,0.276596,8118.270262,5355058836.288892,149.766700
0.000071,0.279819,8117.624715,5343063029.578642,149.431790
0.000071,0.283043,8116.906380,5329712396.799631,149.155718
0.000071,0.286267,8117.181522,5334826329.488661,149.307363
0.000071,0.289490,8118.029213,5350579784.270325,149.676799
0.000071,0.292713,8118.345940,5356464987.323285,149.786795
0.000071,0.295937,8117.618398,5342945638.015371,149.294681
0.000071,0.299160,8114.890082,5292225819.332584,147.683435
0.000071,0.302386,8108.818471,5179231139.015207,144.228194
0.000071,0.305615,8097.892528,4975468951.519090,138.098883
0.000071,0.308850,8080.534163,4650612883.263151,128.413300
0.000071,0.312093,8055.360056,4177000213.261049,114.425887
0.000071,0.315348,8022.151400,3547682823.009262,96.129281
0.000071,0.318618,7983.576202,2810094396.306701,75.124613
0.000071,0.321904,7945.565061,2076285631.493940,54.611034
0.000071,0.325203,7914.284342,1467121189.576299,37.766560
0.000071,0.328514,7892.505660,1040149287.051628,26.004556
0.000071,0.331832,7879.302604,780153664.891197,18.836522
0.000071,0.335155,7872.103819,638027221.613635,14.907262
0.000071,0.338479,7868.473148,566247813.125203,12.917082
0.000071,0.341805,7866.747905,532116041.928043,11.967211
0.000071,0.345132,7865.958251,516488734.480558,11.530342
0.000071,0.348458,7865.597972,509357740.004845,11.331428
0.000071,0.351785,7865.434905,506129952.599288,11.239640
0.000071,0.355112,7865.350147,504452179.498238,11.192649
0.000071,0.358439,7865.300599,503471363.629115,11.165235
0.000071,0.361766,7865.270206,502869713.418863,11.147697
0.000071,0.365093,7865.244326,502357394.399455,11.133199
0.000071,0.368419,7865.222467,501924684.921189,11.121626
0.000071,0.371746,7865.208001,501638328.275593,11.112277
0.000071,0.375073,7865.189476,501271612.863774,11.102771
0.000071,0.378400,7865.176348,501011731.354244,11.095188
0.000071,0.381727,7865.165690,500800736.512463,11.088534
0.000071,0.385054,7865.151797,500525710.931754,11.081365
0.000071,0.388381,7865.141682,500325480.428559,11.076119
0.000071,0.391708,7865.134175,500176860.503809,11.070740
0.000071,0.395035,7865.118448,499865522.267400,11.059325
0.000071,0.398362,7865.061885,498745780.632004,10.962541
0.000071,0.401689,7864.514043,483200001.604682,10.413524
0.000071,0.405016,7862.875482,428720301.367797,9.139639
0.000071,0.408345,7860.453882,348173295.363888,7.360317
0.000071,0.411674,7857.810104,260191231.745308,5.466101
0.000071,0.415005,7855.403243,180052201.734157,3.765553
0.000071,0.418336,7853.483812,116114164.779501,2.420804
0.000071,0.421668,7852.105876,70198164.101759,1.460519
0.000071,0.425001,7851.199612,39992189.986328,0.831038
0.000071,0.428334,7850.646818,21564611.108984,0.447849
0.000071,0.431667,7850.331314,11046212.391739,0.229388
0.000071,0.435000,7850.161707,5391523.581436,0.112000
0.000071,0.438333,7850.075398,2513888.127102,0.052258
0.000071,0.441667,7850.033657,1122184.252923,0.023351
0.000071,0.445000,7850.014411,480494.844004,0.010011
0.000071,0.448333,7850.005929,197671.822745,0.004124
0.000071,0.451667,7850.002347,78249.104197,0.001635
0.000071,0.455000,7850.000895,29845.289222,0.000625
0.000071,0.458333,7850.000329,10981.548473,0.000230
0.000071,0.461667,7850.000117,3902.344472,0.000082
0.000071,0.465000,7850.000040,1340.614651,0.000028
0.000071,0.468333,7850.000013,445.668470,0.000009
0.000071,0.471667,7850.000004,143.493026,0.000003
0.000071,0.475000,7850.000001,44.780939,0.000001
0.000071,0.478333,7850.000000,13.559357,0.000000
0.000071,0.481667,7850.000000,3.984859,0.000000
0.000071,0.485000,7850.000000,1.138553,0.000000
0.000071,0.488333,7850.000000,0.316086,0.000000
0.000071,0.491667,7850.000000,0.084623,0.000000
0.000071,0.495000,7850.000000,0.023040,0.000000
0.000071,0.498333,7850.000000,0.001962,0.000000
0.000071,0.501667,7850.000000,0.000104,0.000000
0.000071,0.505000,7850.000000,-0.000002,0.000000
0.000071,0.508333,7850.000000,-0.000014,0.000000
0.000071,0.511667,7850.000000,0.000001,0.000000
0.000071,0.515000,7850.000000,-0.000020,0.000000
0.000071,0.518333,7850.000000,-0.000001,0.000000
0.000071,0.521667,7850.000000,-0.000000,0.000000
0.000071,0.525000,7850.000000,-0.000029,0.000000
0.000071,0.528333,7850.000000,0.000003,0.000000
0.000071,0.531667,7850.000000,-0.000006,0.000000
0.000071,0.535000,7850.000000,-0.000009,0.000000
0.000071,0.538333,7850.000000,-0.000003,0.000000
0.000071,0.541667,7850.000000,-0.000012,0.000000
0.000071,0.545000,7850.000000,-0.000011,0.000000
0.000071,0.548333,7850.000000,-0.000009,0.000000
0.000071,0.551667,7850.000000,-0.000008,0.000000
0.000071,0.555000,7850.000000,0.000002,0.000000
0.000071,0.558333,7850.000000,-0.000020,0.000000
0.000071,0.561667,7850.000000,-0.000003,0.000000
0.000071,0.565000,7850.000000,0.000005,0.000000
0.000071,0.568333,7850.000000,-0.000037,0.000000
0.000071,0.571667,7850.000000,0.000004,0.000000
0.000071,0.575000,7850.000000,-0.000011,0.000000
0.000071,0.578333,7850.000000,-0.000014,0.000000
0.000071,0.581667,7850.000000,-0.000004,0.000000
0.000071,0.585000,7850.000000,-0.000022,-0.000000
0.000071,0.588333,7850.000000,-0.000006,0.000000
0.000071,0.591667,7850.000000,-0.000020,0.000000
0.000071,0.595000,7850.000000,-0.000011,0.000000
0.000071,0.598333,7850.000000,-0.000008,0.000000
0.000071,0.601667,7850.000000,-0.000022,0.000000
0.000071,0.605000,7850.000000,-0.000004,0.000000
0.000071,0.608333,7850.000000,-0.000009,0.000000
0.000071,0.611667,7850.000000,-0.000029,0.000000
0.000071,0.615000,7850.000000,-0.000005,0.000000
0.000071,0.618333,7850.000000,-0.000006,0.000000
0.000071,0.621667,7850.000000,-0.000014,0.000000
0.000071,0.625000,7850.000000,-0.000015,0.000000
0.000071,0.628333,7850.000000,-0.000010,-0.000000
0.000071,0.631667,7850.000000,-0.000013,0.000000
0.000071,0.635000,7850.000000,-0.000017,0.000000
0.000071,0.638333,7850.000000,-0.000009,0.000000
0.000071,0.641667,7850.000000,-0.000017,0.000000
0.000071,0.645000,7850.000000,-0.000014,0.000000
0.000071,0.648333,7850.000000,-0.000007,0.000000
0.000071,0.651667,7850.000000,-0.000007,0.000000
0.000071,0.655000,7850.000000,-0.000027,0.000000
0.000071,0.658333,7850.000000,-0.000010,-0.000000
0.000071,0.661667,7850.000000,-0.000005,-0.000000
0.000071,0.665000,7850.000000,-0.000017,0.000000
0.000071,0.668333,7850.000000,-0.000012,0.000000
0.000071,0.671667,7850.000000,-0.000010,0.000000
0.000071,0.675000,7850.000000,-0.000013,0.000000
0.000071,0.678333,7850.000000,-0.000017,0.000000
0.000071,0.681667,7850.000000,-0.000008,0.000000
0.000071,0.685000,7850.000000,-0.000022,0.000000
0.000071,0.688333,7850.000000,-0.000013,0.000000
0.000071,0.691667,7850.000000,-0.000003,0.000000
0.000071,0.695000,7850.000000,-0.000015,-0.000000
0.000071,0.698333,7850.000000,-0.000020,0.000000
0.000071,0.701667,7850.000000,-0.000007,-0.000000
0.000071,0.705000,7850.000000,-0.000009,-0.000000
0.000071,0.708333,7850.000000,-0.000020,0.000000
0.000071,0.711667,7850.000000,-0.000008,0.000000
0.000071,0.715000,7850.000000,-0.000018,0.000000
0.000071,0.718333,7850.000000,-0.000013,0.000000
0.000071,0.721667,7850.000000,-0.000010,0.000000
0.000071,0.725000,7850.000000,-0.000005,-0.000000
0.000071,0.728333,7850.000000,-0.000027,-0.000000
0.000071,0.731667,7850.000000,-0.000011,0.000000
0.000071,0.735000,7850.000000,0.000000,0.000000
0.000071,0.738333,7850.000000,-0.000015,-0.000000
0.000071,0.741667,7850.000000,-0.000019,0.000000
0.000071,0.745000,7850.000000,-0.000007,0.000000
0.000071,0.748333,7850.000000,-0.000015,-0.000000
0.000071,0.751667,7850.000000,-0.000022,0.000000
0.000071,0.755000,7850.000000,-0.000002,0.000000
0.000071,0.758333,7850.000000,-0.000010,-0.000000
0.000071,0.761667,7850.000000,-0.000019,0.000000
0.000071,0.765000,7850.000000,-0.000015,0.000000
0.000071,0.768333,7850.000000,-0.000006,0.000000
0.000071,0.771667,7850.000000,-0.000018,-0.000000
0.000071,0.775000,7850.000000,-0.000013,0.000000
0.000071,0.778333,7850.000000,-0.000001,0.000000
0.000071,0.781667,7850.000000,-0.000019,-0.000000
0.000071,0.785000,7850.000000,-0.000017,0.000000
0.000071,0.788333,7850.000000,-0.000010,0.000000
0.000071,0.791667,7850.000000,-0.000009,-0.000000
0.000071,0.795000,7850.000000,-0.000020,0.000000
0.000071,0.798333,7850.000000,-0.000008,0.000000
0.000071,0.801667,7850.000000,-0.000013,0.000000
0.000071,0.805000,7850.000000,-0.000014,0.000000
0.000071,0.808333,7850.000000,-0.000010,0.000000
0.000071,0.811667,7850.000000,-0.000018,0.000000
0.000071,0.815000,7850.000000,-0.000015,-0.000000
0.000071,0.818333,7850.000000,-0.000008,0.000000
0.000071,0.821667,7850.000000,-0.000010,0.000000
0.000071,0.825000,7850.000000,-0.000027,-0.000000
0.000071,0.828333,7850.000000,-0.000013,-0.000000
0.000071,0.831667,7850.000000,-0.000011,0.000000
0.000071,0.835000,7850.000000,-0.000024,-0.000000
0.000071,0.838333,7850.000000,-0.000016,0.000000
0.000071,0.841667,7850.000000,-0.000008,-0.000000
0.000071,0.845000,7850.000000,-0.000029,0.000000
0.000071,0.848333,7850.000000,-0.000011,-0.000000
0.000071,0.851667,7850.000000,-0.000011,0.000000
0.000071,0.855000,7850.000000,-0.000027,0.000000
0.000071,0.858333,7850.000000,-0.000013,-0.000000
0.000071,0.861667,7850.000000,-0.000007,-0.000000
0.000071,0.865000,7850.000000,-0.000014,0.000000
0.000071,0.868333,7850.000000,-0.000026,-0.000000
0.000071,0.871667,7850.000000,-0.000012,-0.000000
0.000071,0.875000,7850.000000,-0.000013,0.000000
0.000071,0.878333,7850.000000,-0.000024,-0.000000
0.000071,0.881667,7850.000000,-0.000015,0.000000
0.000071,0.885000,7850.000000,-0.000009,0.000000
0.000071,0.888333,7850.000000,-0.000029,-0.000000
0.000071,0.891667,7850.000000,-0.000011,-0.000000
0.000071,0.895000,7850.000000,-0.000011,0.000000
0.000071,0.898333,7850.000000,-0.000027,0.000000
0.000071,0.901667,7850.000000,-0.000013,-0.000000
0.000071,0.905000,7850.000000,-0.000006,-0.000000
0.000071,0.908333,7850.000000,-0.000016,0.000000
0.000071,0.911667,7850.000000,-0.000026,-0.000000
0.000071,0.915000,7850.000000,-0.000009,-0.000000
0.000071,0.918333,7850.000000,-0.000016,0.000000
0.000071,0.921667,7850.000000,-0.000023,-0.000000
0.000071,0.925000,7850.000000,-0.000013,0.000000
0.000071,0.928333,7850.000000,-0.000012,-0.000000
0.000071,0.931667,7850.000000,-0.000028,-0.000000
0.000071,0.935000,7850.000000,-0.000010,-0.000000
0.000071,0.938333,7850.000000,-0.000011,0.000000
0.000071,0.941667,7850.000000,-0.000030,0.000000
0.000071,0.945000,7850.000000,-0.000011,-0.000000
0.000071,0.948333,7850.000000,-0.000005,-0.000000
0.000071,0.951667,7850.000000,-0.000019,0.000000
0.000071,0.955000,7850.000000,-0.000024,-0.000000
0.000071,0.958333,7850.000000,-0.000009,-0.000000
0.000071,0.961667,7850.000000,-0.000014,0.000000
0.000071,0.965000,7850.000000,-0.000027,-0.000000
0.000071,0.968333,7850.000000,-0.000010,0.000000
0.000071,0.971667,7850.000000,-0.000011,0.000000
0.000071,0.975000,7850.000000,-0.000026,-0.000000
0.000071,0.978333,7850.000000,-0.000012,-0.000000
0.000071,0.981667,7850.000000,-0.000011,0.000000
0.000071,0.985000,7850.000000,-0.000028,0.000000
0.000071,0.988333,7850.000000,-0.000012,-0.000000
0.000071,0.991667,7850.000000,-0.000007,-0.000000
0.000071,0.995000,7850.000000,-0.000023,0.000000
0.000071,0.998333,7850.000000,-0.000023,0.000000
