0.149449
xc;yc;vx;vy;rho;m;p;impx;impy;e;ei
0.0025;0.005;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.015;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.025;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.035;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.045;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.055;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.065;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.075;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.085;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.095;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.105;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.115;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.125;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.135;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.145;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.155;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.165;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.175;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.185;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.195;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.205;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.215;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.225;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.235;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.245;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.255;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.265;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.275;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.285;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.295;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.305;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.315;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.325;0;0;1;1;1;0;0;2.5;2.5
0.0025;0.335;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.005;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.015;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.025;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.035;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.045;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.055;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.065;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.075;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.085;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.095;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.105;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.115;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.125;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.135;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.145;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.155;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.165;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.175;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.185;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.195;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.205;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.215;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.225;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.235;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.245;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.255;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.265;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.275;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.285;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.295;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.305;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.315;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.325;0;0;1;1;1;0;0;2.5;2.5
0.0075;0.335;0;0;1;1;1;0;0;2.5;2.5
0.0125;0.005;0;0;1;1;1;0;0;2.5;2.5
0.0125;0.015;0;0;1;1;1;0;0;2.5;2.5
0.0125;0.025;0;0;1;1;1;0;0;2.5;2.5
0.0125;0.035;0;0;1;1;1;0;0;2.5;2.5
0.0125;0.045;0;0;1;1;1;0;0;2.5;2.5
0.0125;0.055;0;0;1;1;1;0;0;2.5;2.5
