Time,X,Rho,P,U,W
0.000222,10.648516,79.251584,72552375.219596,-94.052166,0.000000
0.000222,10.738138,35.563053,26266310.403244,21.338480,0.000000
0.000222,10.861862,35.563055,26266312.570182,-0.000010,0.000000
0.000222,10.951484,79.251562,72552352.230767,-21.338614,0.000000
0.000222,11.050000,31.092467,21848139.347131,94.052311,0.000000
0.000222,11.148516,79.251584,72552375.219596,-94.052166,0.000000
0.000222,11.238138,35.563053,26266310.403244,21.338480,0.000000
0.000222,11.361862,35.563055,26266312.570182,-0.000010,0.000000
0.000222,11.451484,79.251562,72552352.230767,-21.338614,0.000000
0.000222,11.550000,31.092467,21848139.347131,94.052311,0.000000
0.000222,11.648516,79.251584,72552375.219596,-94.052166,0.000000
0.000222,11.738138,35.563053,26266310.403244,21.338480,0.000000
0.000222,11.861862,35.563055,26266312.570182,-0.000010,0.000000
0.000222,11.951484,79.251562,72552352.230767,-21.338614,0.000000
0.000222,12.050000,31.092467,21848139.347131,94.052311,0.000000
0.000222,12.148516,79.251584,72552375.219596,-94.052166,0.000000
0.000222,12.238138,35.563053,26266310.403244,21.338480,0.000000
0.000222,12.361862,35.563055,26266312.570182,-0.000010,0.000000
0.000222,12.451484,79.251562,72552352.230767,-21.338614,0.000000
0.000222,12.550000,31.092467,21848139.347131,94.052311,0.000000
0.000222,12.648516,79.251584,72552375.219596,-94.052166,0.000000
0.000222,12.738138,35.563053,26266310.403244,21.338480,0.000000
0.000222,12.861862,35.563055,26266312.570182,-0.000010,0.000000
0.000222,12.951484,79.251562,72552352.230767,-21.338614,0.000000
0.000222,13.050000,31.092467,21848139.347131,94.052311,0.000000
0.000222,13.148516,79.251584,72552375.219596,-94.052166,0.000000
0.000222,13.238138,35.563053,26266310.403244,21.338480,0.000000
0.000222,13.361862,35.563055,26266312.570182,-0.000010,0.000000
0.000222,13.451484,79.251562,72552352.230767,-21.338614,0.000000
0.000222,13.550000,31.092467,21848139.347131,94.052311,0.000000
0.000222,13.648516,79.251584,72552375.219596,-94.052166,0.000000
