Time: 0.138194
X,Y,UX,UY,Rho,P,E
0.0075,0.925,0,0,0.125,0.1,0.25
0.0075,0.935,0,0,0.125,0.1,0.25
0.0075,0.945,0,0,0.125,0.1,0.25
0.0075,0.955,0,0,0.125,0.1,0.25
0.0075,0.965,0,0,0.125,0.1,0.25
0.0075,0.975,0,0,0.125,0.1,0.25
0.0075,0.985,0,0,0.125,0.1,0.25
0.0075,0.995,0,0,0.125,0.1,0.25
0.0125,0.005,0,0,1,1,2.5
0.0125,0.015,0,0,1,1,2.5
0.0125,0.025,0,0,1,1,2.5
0.0125,0.035,0,0,1,1,2.5
0.0125,0.045,0,0,1,1,2.5
0.0125,0.055,0,0,1,1,2.5
0.0125,0.065,0,0,1,1,2.5
0.0125,0.075,0,0,1,1,2.5
0.0125,0.085,0,0,1,1,2.5
0.0125,0.095,0,0,1,1,2.5
0.0125,0.105,0,8.31558e-17,1,1,2.5
0.0125,0.115,0,6.68787e-16,1,1,2.5
0.0125,0.125,0,4.34158e-15,1,1,2.5
0.0125,0.135,0,2.59223e-14,1,1,2.5
0.0125,0.145,0,1.57683e-13,1,1,2.5
0.0125,0.155,0,9.26368e-13,1,1,2.5
0.0125,0.165,0,5.26833e-12,1,1,2.5
0.0125,0.175,0,2.89153e-11,1,1,2.5
0.0125,0.185,0,1.53152e-10,1,1,2.5
0.0125,0.195,0,7.81607e-10,1,1,2.5
0.0125,0.205,0,3.83892e-09,1,1,2.5
0.0125,0.215,0,1.81242e-08,1,1,2.5
0.0125,0.225,0,8.21433e-08,1,1,2.5
0.0125,0.235,0,3.56891e-07,1,1,2.5
0.0125,0.245,0,1.48416e-06,0.999999,0.999998,2.5
0.0125,0.255,0,5.8974e-06,0.999995,0.999993,2.49998
0.0125,0.265,0,2.23466e-05,0.999981,0.999974,2.49993
0.0125,0.275,0,8.05562e-05,0.999932,0.999905,2.49976
0.0125,0.285,0,0.000275451,0.999767,0.999674,2.49919
0.0125,0.295,0,0.000889816,0.999248,0.998948,2.49737
